label,X1528CSW2.1.1,X1528CSW2.1.2,X1528CSW2.1.3,X1528CSW2.1.4,X1528CSW2.2.1,X1528CSW2.2.2,X1528CSW2.2.3,X1528CSW2.2.4,X1528CSW2.3.3,X2710SW2.1.1
10dfb7996eaee0363ca596f4591a4dae,0,0,0,0,0,0,0,0,0,0
0714ce50a95b7cc00af43dc3a880a3a0,0,0,0,0,0,0,0,0,0,0
09a5af8b77632a7ced505d5ae98a5fd1,0,0,0,0,0,0,0,0,0,0
433bfa959e34ec6d5d3a7ab74c9fc51c,0,0,0,0,0,0,0,0,0,0
d877dd51999b595cfa0272a5b0cd9e01,0,0,0,0,0,0,0,0,0,0
5b92a70009a3982df9e7901fa9237f03,0,0,0,0,0,0,0,0,0,0
da0338235f4592a748d7b6139d1e0d31,0,0,0,0,0,0,0,0,0,0
b3b0e73749d691a98a187a12dd2d5ab7,0,0,0,0,0,0,0,0,0,0
cdacfd19d0f6f7f31c90ef21877351ab,0,0,0,0,0,0,0,0,0,0
06b2e0c978b803f95488290db765eb2c,0,0,0,0,0,0,0,0,0,0
ff55776d65f275ece7f1c8d51ed40d08,0,0,0,0,0,0,0,0,0,0
c3bbc1ad553a5c69cb96caa37b94e1be,0,0,0,0,0,0,0,0,0,0
2318539dcef70cd0f026acda057bf16c,0,0,0,0,0,0,0,0,0,0
991e56104f89290ac3aab0b7afd7f214,0,0,0,0,0,0,0,0,0,0
0b7f2bb6288a4bfcf02c45633ab0b0c2,0,0,0,0,0,0,0,0,0,0
930aed69cf2671d6557568e767fb3957,0,0,0,0,0,0,0,0,0,0
b84141da834d2a12d71f33d9f6208fb5,0,0,0,0,0,0,0,0,0,0
edbdaca43a9c038b0d1e2943e9dc2ce1,0,0,0,0,0,0,0,0.707226403,0,0
8a483e36106d85415ec45937011df364,0,0,0.049701789,0,20.60676779,16.02497399,0,0.924834527,1.34216713,0
c664a73929aea0a9b89578f0af5871ee,0,0,0,0,0,0,0,0,0,0
9833979ae47a229d3f3f7e58f359a415,0,0,0,0,0,0,0,0,0,0
199980883a7b561228a77aed064d1ff1,0,0,0,0,0,0,0,0,0,0
bb8297a1efac557600e5284e47d323a5,0,0,0,0,0,0,0,0,0,0
ebe1d8d1fee3a7f88785fdf37ef03e02,0,0,0,0,0,0,0,0,0,0
0c7cbc952fd63c6e61e06cd62a0b6bfc,0,0,0,0,0,0,0,0,0,0
0b6997fee69a1fb6edb07106e099bffa,0,0,0,0,0,0,0,0,0,0
6290e8f204ad02b9e131cfa2094b9504,0,0,0,0,0,0,0,0,0,0
58d93b982c6494bd3a34f5ad63b1eb07,0,0,0,0,0,6.555671176,0,0,0,0
e1510b286531ed58ae9f698007c5efa4,4.057209574,0.551691053,0.018638171,0,0,0,1.833872708,1.178710672,0.085488352,0
37e30e78d2300ad4f4cd9772ac724b26,0,0,0,0,0,0,0,0,0,0
848ce2e58807e4df39373ccfbe075a52,0,0,0,0,0,0,0,0,0,0
9ac5c3ac931cdea9dd113a67d6b64768,0,0,0,0,0,0,0,0,0,0
4d313e0719296fdf66731b1346b26691,0,0,0,0,0,0,0,0,0,0
6aa6ca4b7b39fb571f4e9481abd50c67,0,0,0,0,0,0,0,0,0,0
0d055051868f43580e28a6e9b5195587,0,0,0,0,0,0,0,0,0,0
e528657523fb22f3f2dc53c4d1372e91,0,0,0,0,0,0,0,0,0,0.116324157
bd75f1a48d453056db4c97cde0e28c88,0,0,0,0,0,0,0,0,0,0
4d041ca291f8a55652028d963b664a8f,0,0,0,0,0,0,0,0,0,0
0242646e9f6492edfdab6c58ab0aa3b1,0,0,0,0,0,0,0,0,0,0
6d315d779024422b8e7b492bebefd266,0,0,0,0,0,0,0,0,0,0
4a364d7940bba5899ef798a04d5eb82f,0,0,0,0,0,0,0,0,0,0
eec72908707f829a84e4c37a751564d6,0,0,0,0,0,0,0,0,0,0
d8b70c0e34b203d7fbaaa6def627f788,0,0,0,0,0,0,0,0,0,0
6a0259a4683e0195f2ce571b02792cf8,0,0,0,0,0,0,0,0,0,0
5dadfc5610e42c0e710bcb3b210a2098,0,0,0,0,0,0,0,0,0,0
1c2c9c525983ca7c88664391586951a7,0,0,0,0,0,0,0,0,0,0
611f3d4e94f6b1f30c6e05394cbd4560,0,0,0,0,0,0,0,0,0,0
9bb9c0a3ae9d7a49cba70f8f4ed4634d,0,0,0,0,0,0,0,0,0,0
190023cae82ad1d6a3c5fa3e68f34315,0,0,0,0,0,0,0,0,0,0
537849c35b3b2b6841c44d5626aa6daf,0,0,0,0,0,0,0,0,0,0
65a4868771a860c7a94f4034ff168065,0,0,0,0,0,0,0,0,0,0
092fe1df26e14c031706c205b1114ac1,0,0,0,0,0,0,0,0,0,0
f2912eab0a4ee701406ce823376729d4,0,0,0,0,0,0,0,0,0,0
224897d60fa2727eedf282a4f3fb0100,0,0,0,0,0,0,0,0,0,0
e26773b5f6fedbbb565e9fd708e29be0,0,0,0,0,0,0,0,0,0,0
272e093b2c1b6c77646ad9d233f3d540,0,0,0,0,0,0,0,0,0,0
532abac3b24902f01a2da80010806c11,0,0,0,0,0,0,0,0,0,0
544170fe5ce36c26be52114f71c52591,0,0,0,0,0,0,0,0,0,0
